STATE,PLACE,POPESTIMATE2023
06,13214,77212
06,13294,19328
06,13392,274333
06,13588,86239
06,13756,35640
06,13882,10754
06,13945,16481
06,14190,8825
06,14218,125826
06,14260,43590
06,14274,17369
06,14498,2050
06,14736,1407
06,14890,53357
06,14946,6527
06,14974,11672
06,15044,90986
06,16000,122315
06,16224,22044
06,16322,8069
06,16350,160238
06,16378,18437
06,16462,9947
06,16532,108354
06,16560,7430
06,16742,48728
06,17022,5611
06,17498,21723
06,17568,39041
06,17610,57285
06,17750,48782
06,17918,99833
06,17946,32567
06,17988,42999
06,18100,65832
06,18394,51500
06,18506,3867
06,18688,1550
06,18996,33438
06,19192,52041
06,19318,25863
06,19402,19309
06,19584,832
06,19612,5708
06,19766,108816
06,19990,23131
06,20018,69128
06,20242,1642
06,20956,28216
06,21230,70510
06,21712,102991
06,21782,43772
06,21796,25552
06,22020,178444
06,22230,103794
06,22300,31134
06,22412,16445
06,22594,12732
06,22678,60841
06,22790,7355
06,22804,148122
06,22972,653
06,23042,25734
06,23126,10206
06,23168,7417
06,23182,120768
06,23616,10243
06,23910,1389
06,24092,17190
06,24134,8547
06,24638,84782
06,24680,215465
06,25058,6919
06,25128,673
06,25296,12285
06,25338,32180
06,25380,55468
06,25436,7274
06,26000,226208
06,27000,545716
06,28000,139250
06,28112,25767
06,28168,58377
06,29000,168234
06,29504,58250
06,30000,187050
06,30014,49934
06,30378,32665
06,30392,8327
06,30658,12939
06,30798,14074
06,30994,20634
06,31260,7269
06,31393,12547
06,31414,8622
06,31568,6099
06,31708,11105
06,31960,59938
06,32506,13396
06,32548,83364
06,33000,155675
06,33056,11137
06,33182,92368
06,33308,26582
06,33364,18641
06,33434,100633
06,33518,1685
06,33588,56202
06,33798,10883
06,34120,44658
06,34246,5555
06,34904,7683
06,36000,192129
06,36056,51942
06,36084,6377
06,36280,21591
06,36294,25458
06,36434,4862
06,36448,93057
06,36490,257
06,36546,102865
06,36672,5431
06,36770,314621
06,36826,1426
06,36882,777
06,36980,5132
06,37692,107321
06,38226,17238
06,38520,13917
06,38562,13013
06,39003,19538
06,39122,25048
06,39178,22332
06,39220,30243
06,39248,62899
06,39259,16998
06,39290,60991
06,39304,5368
06,39486,73028
06,39496,85840
06,39710,5135
06,39892,78135
06,40004,60537
06,40032,45505
06,40130,166236
06,40256,15029
06,40340,36516
06,40354,39081
06,40438,12589
06,40704,39857
06,40830,29898
06,40886,30155
06,41124,27569
06,41152,26809
06,41474,54538
06,41712,12496
06,41936,9443
06,41992,82908
06,42006,14643
06,42202,67679
06,42370,25111
06,42468,19782
06,42524,43045
06,43000,449468
06,43140,6779
06,43224,11901
06,43280,29990
06,43294,8189
06,44000,3820914
06,44028,48553
06,44112,32216
06,44364,728
06,44574,63234
06,44826,14049
06,45022,68079
06,45246,10277
06,45358,7187
06,45400,33369
06,45484,91059
06,45736,1009
06,45778,22833
06,46114,36395
06,46170,12674
06,46492,23824
06,46828,12530
06,46842,113433
06,46870,31690
06,46898,93692
06,47486,22087
06,47710,13792
06,47766,77321
06,48256,90624
06,48354,218915
06,48648,36768
06,48690,1182
06,48788,37545
06,48816,60015
06,48872,29116
06,48914,57877
06,48956,3459
06,49138,35543
06,49187,16547
06,49270,212392
06,49278,44478
06,49362,10589
06,49670,81785
06,49852,3179
06,50076,111878
06,50258,77492
06,50398,55236
06,50734,4824
06,50874,3224
06,50916,46929
06,51140,12207
06,51182,82637
06,51560,25398
06,52526,98078
06,52582,51722
06,52694,23045
06,53000,436504
06,53070,45761
06,53322,170020
06,53476,7466
06,53896,182457
06,53980,138337
06,54008,9497
06,54232,19364
06,54274,8132
06,54386,19449
06,54652,198488
06,54806,36426
06,54848,14757
06,55156,161404
06,55184,51951
06,55254,45218
06,55282,65882
06,55380,12646
06,55520,8285
06,55618,51072
06,55856,14426
06,56000,133560
06,56112,25063
06,56700,80603
06,56784,58800
06,56924,59189
06,56938,10635
06,57288,18481
06,57414,7948
06,57456,75803
06,57526,52192
06,57540,10656
06,57764,33802
06,57792,74653
06,57834,1131
06,57876,451
06,58072,145502
06,58240,62876
06,58296,21217
06,58352,2124
06,58380,4204
06,58520,48051
06,59444,82605
06,59451,174405
06,59500,17795
06,59514,39980
06,59587,46182
06,59892,14413
06,59920,92727
06,59962,72556
06,60018,67749
06,60102,80996
06,60242,25958
06,60466,103391
06,60620,114106
06,60704,28088
06,60900,3308
06,60984,10145
06,61026,16068
06,61068,25001
06,62000,318858
06,62364,73472
06,62546,44546
06,62602,1644
06,62644,8033
06,62896,49305
06,62938,159135
06,62980,2290
06,64000,526384
06,64140,5272
06,64224,159506
06,64434,12498
06,65000,223728
06,65028,41327
